match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
1000887,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,ODI,Australia,bat,Australia
1000889,Melbourne Cricket Ground,Australia,Pakistan,ODI,Australia,bat,Pakistan
1000891,Western Australia Cricket Association Ground,Australia,Pakistan,ODI,Australia,field,Australia
1000893,Sydney Cricket Ground,Australia,Pakistan,ODI,Australia,bat,Australia
1000895,Adelaide Oval,Australia,Pakistan,ODI,Australia,bat,Australia
1001371,Sydney Cricket Ground,Australia,New Zealand,ODI,Australia,bat,Australia
1001373,Manuka Oval,Australia,New Zealand,ODI,New Zealand,field,Australia
1001375,Melbourne Cricket Ground,Australia,New Zealand,ODI,Australia,bat,Australia
1004283,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,ODI,Hong Kong,field,Unknown
1004285,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,ODI,Scotland,bat,Scotland
1007649,Harare Sports Club,Zimbabwe,India,ODI,India,field,India
1007651,Harare Sports Club,Zimbabwe,India,ODI,India,field,India
1007653,Harare Sports Club,Zimbabwe,India,ODI,Zimbabwe,bat,India
1019973,Hagley Oval,New Zealand,Bangladesh,ODI,New Zealand,bat,New Zealand
1019975,Saxton Oval,New Zealand,Bangladesh,ODI,Bangladesh,field,New Zealand
1019977,Saxton Oval,New Zealand,Bangladesh,ODI,Bangladesh,bat,New Zealand
1020013,Eden Park,New Zealand,Australia,ODI,Australia,field,New Zealand
1020017,Seddon Park,New Zealand,Australia,ODI,New Zealand,bat,New Zealand
1020031,Seddon Park,New Zealand,South Africa,ODI,South Africa,field,South Africa
1020033,Hagley Oval,New Zealand,South Africa,ODI,South Africa,field,New Zealand
1020035,Westpac Stadium,New Zealand,South Africa,ODI,South Africa,bat,South Africa
1020037,Seddon Park,New Zealand,South Africa,ODI,South Africa,bat,New Zealand
1020039,Eden Park,New Zealand,South Africa,ODI,South Africa,field,South Africa
1022347,Kennington Oval,England,Bangladesh,ODI,England,field,England
1022349,Edgbaston,Australia,New Zealand,ODI,New Zealand,bat,Unknown
1022351,Kennington Oval,South Africa,Sri Lanka,ODI,Sri Lanka,field,South Africa
1022353,Edgbaston,India,Pakistan,ODI,Pakistan,field,India
1022355,Kennington Oval,Australia,Bangladesh,ODI,Bangladesh,bat,Unknown
1022357,Sophia Gardens,England,New Zealand,ODI,New Zealand,field,England
1022359,Edgbaston,Pakistan,South Africa,ODI,South Africa,bat,Pakistan
1022361,Kennington Oval,India,Sri Lanka,ODI,Sri Lanka,field,Sri Lanka
1022363,Sophia Gardens,Bangladesh,New Zealand,ODI,New Zealand,bat,Bangladesh
1022365,Edgbaston,England,Australia,ODI,England,field,England
1022367,Kennington Oval,India,South Africa,ODI,India,field,India
1022369,Sophia Gardens,Pakistan,Sri Lanka,ODI,Pakistan,field,Pakistan
1022371,Sophia Gardens,England,Pakistan,ODI,Pakistan,field,Pakistan
1022373,Edgbaston,Bangladesh,India,ODI,India,field,India
1022375,Kennington Oval,India,Pakistan,ODI,India,field,Pakistan
1026847,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,ODI,Hong Kong,bat,Hong Kong
1026849,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,ODI,Papua New Guinea,bat,Papua New Guinea
1026851,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,ODI,Papua New Guinea,bat,Hong Kong
1027315,"Sir Vivian Richards Stadium, North Sound",West Indies,England,ODI,West Indies,field,England
1027317,"Sir Vivian Richards Stadium, North Sound",West Indies,England,ODI,West Indies,bat,England
1027319,"Kensington Oval, Bridgetown",West Indies,England,ODI,West Indies,field,England
1029001,County Ground,England,Ireland,ODI,Ireland,bat,England
1029003,Lord's,England,Ireland,ODI,Ireland,field,England
1029819,Shere Bangla National Stadium,Bangladesh,England,ODI,England,bat,England
1029821,Shere Bangla National Stadium,Bangladesh,England,ODI,England,field,Bangladesh
1029823,Zahur Ahmed Chowdhury Stadium,Bangladesh,England,ODI,England,field,England
1030219,Himachal Pradesh Cricket Association Stadium,India,New Zealand,ODI,India,field,India
1030221,Feroz Shah Kotla,India,New Zealand,ODI,India,field,New Zealand
1030223,"Punjab Cricket Association Stadium, Mohali",India,New Zealand,ODI,India,field,India
1030225,JSCA International Stadium Complex,India,New Zealand,ODI,New Zealand,bat,New Zealand
1030227,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,New Zealand,ODI,India,bat,India
1031425,Headingley,England,South Africa,ODI,South Africa,field,England
1031427,The Rose Bowl,England,South Africa,ODI,South Africa,field,England
1031429,Lord's,England,South Africa,ODI,South Africa,field,South Africa
1031667,Old Trafford,West Indies,England,ODI,West Indies,bat,England
1031669,Trent Bridge,England,West Indies,ODI,West Indies,field,Unknown
1031671,County Ground,England,West Indies,ODI,West Indies,field,England
1031673,Kennington Oval,West Indies,England,ODI,England,field,England
1031675,The Rose Bowl,West Indies,England,ODI,England,field,England
1033361,Malahide,Ireland,Bangladesh,ODI,Ireland,field,Unknown
1033363,Malahide,Ireland,New Zealand,ODI,Ireland,field,New Zealand
1033365,Clontarf Cricket Club Ground,Bangladesh,New Zealand,ODI,New Zealand,field,New Zealand
1033367,Malahide,Ireland,Bangladesh,ODI,Bangladesh,field,Bangladesh
1033369,Malahide,Ireland,New Zealand,ODI,Ireland,field,New Zealand
1033371,Clontarf Cricket Club Ground,Bangladesh,New Zealand,ODI,Bangladesh,field,Bangladesh
1034819,Maharashtra Cricket Association Stadium,India,England,ODI,India,field,India
1034821,Barabati Stadium,India,England,ODI,England,field,India
1034823,Eden Gardens,India,England,ODI,India,field,England
1041523,Sheikh Kamal International Cricket Stadium,Bangladesh,South Africa,ODI,South Africa,bat,South Africa
1041525,Sheikh Kamal International Cricket Stadium,Bangladesh,South Africa,ODI,Bangladesh,bat,South Africa
1043953,Manuka Oval,Australia,South Africa,ODI,South Africa,bat,Australia
1043955,Manuka Oval,Australia,South Africa,ODI,Australia,bat,Australia
1043961,International Sports Stadium,Australia,South Africa,ODI,South Africa,field,Australia
1044203,Rangiri Dambulla International Stadium,Sri Lanka,Australia,ODI,Sri Lanka,bat,Australia
1044209,Khettarama Stadium,Sri Lanka,Australia,ODI,Australia,bat,Australia
1050223,Sharjah Cricket Stadium,Pakistan,West Indies,ODI,West Indies,field,Pakistan
