match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
1001349,Melbourne Cricket Ground,Australia,Sri Lanka,T20,Sri Lanka,field,Sri Lanka
1001351,"Simonds Stadium, South Geelong",Australia,Sri Lanka,T20,Sri Lanka,field,Sri Lanka
1001353,Adelaide Oval,Australia,Sri Lanka,T20,Sri Lanka,field,Australia
1004729,"Bready Cricket Club, Magheramason",Ireland,Hong Kong,T20,Hong Kong,bat,Hong Kong
1007655,Harare Sports Club,Zimbabwe,India,T20,India,field,Zimbabwe
1007657,Harare Sports Club,Zimbabwe,India,T20,Zimbabwe,bat,India
1007659,Harare Sports Club,Zimbabwe,India,T20,Zimbabwe,field,India
1019979,McLean Park,New Zealand,Bangladesh,T20,Bangladesh,bat,New Zealand
1019981,Bay Oval,New Zealand,Bangladesh,T20,Bangladesh,field,New Zealand
1019983,Bay Oval,New Zealand,Bangladesh,T20,Bangladesh,field,New Zealand
1020029,Eden Park,New Zealand,South Africa,T20,New Zealand,field,South Africa
1031431,The Rose Bowl,England,South Africa,T20,South Africa,bat,England
1031433,County Ground,England,South Africa,T20,England,field,South Africa
1031435,Sophia Gardens,England,South Africa,T20,South Africa,field,England
1031665,Riverside Ground,West Indies,England,T20,England,field,West Indies
1034825,Green Park,India,England,T20,England,field,England
1034827,"Vidarbha Cricket Association Stadium, Jamtha",India,England,T20,England,field,India
1034829,M Chinnaswamy Stadium,India,England,T20,England,field,India
1041615,Central Broward Regional Park Stadium Turf Ground,India,West Indies,T20,India,field,West Indies
1041617,Central Broward Regional Park Stadium Turf Ground,India,West Indies,T20,India,field,Unknown
1043989,Melbourne Cricket Ground,Australia,New Zealand,T20,New Zealand,field,Australia
1043991,"Simonds Stadium, South Geelong",Australia,New Zealand,T20,Australia,field,New Zealand
1043993,Adelaide Oval,Australia,New Zealand,T20,New Zealand,bat,New Zealand
1044211,Sinhalese Sports Club Ground,Sri Lanka,Australia,T20,Australia,field,Australia
1050217,Dubai International Cricket Stadium,Pakistan,West Indies,T20,Pakistan,field,Pakistan
1050219,Dubai International Cricket Stadium,Pakistan,West Indies,T20,West Indies,field,Pakistan
1050221,Sheikh Zayed Stadium,Pakistan,West Indies,T20,Pakistan,field,Pakistan
1050615,Saxton Oval,New Zealand,Pakistan,T20,New Zealand,bat,New Zealand
1065348,Asian Institute of Technology Ground,India,Pakistan,T20,India,bat,India
1072316,Sydney Cricket Ground,New Zealand,Australia,T20,Australia,field,Australia
1072317,Bellerive Oval,England,Australia,T20,Australia,field,Australia
